ObsFarm#,FID0,Xf,Yf,Ecology,Xd,Yd,DistName,DistID,Region,REGION,DistKey,District,pH,SOC,Fe_meq100g,Al_meq100g,Clay
48,1565,-3.124,6.94,MSNW,-3.057356163,6.838899362,Adaborkrom,WN11,Western North,WN,ADABORKROM,Adabokrom,6.3,0.244,0.042,4,22.76
49,1129,-3.057,6.99,MSNW,-2.949514737,7.052434103,Nkrankwanta,BA3,Brong Ahafo,BA,NKRANKWANTA,Nkrankwanta,6.13,0.739,0.042,4.65,14.76
50,1152,-2.453,6.63,MSNW,-2.633656006,6.687102282,Sankore,BA1,Brong Ahafo,BA,SANKORE,Sankore,5.79,0.782,0.042,4.43,26.76
51,1674,-2.275,6.465,MSSE,-2.248519818,6.315543698,Bibiani,WN6,Western North,WN,BIBIANI,Bibiani,5.71,0.267,0.042,5.84,12.76
52,1390,-0.577,5.968,MSSE,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,6.22,0.166,0.043,21.84,14.76
53,1136,-2.89,7.491,MSNW,-2.715734955,7.578107281,Dormaa Ahenkro,BA6,Brong Ahafo,BA,DORMAA AHENKRO,Dormaa Ahenkro,6.27,0.98,0.043,4.11,34.76
54,1182,-2.047,7.09,MSNW,-2.196283975,7.190690197,Bechem,BA5,Brong Ahafo,BA,BECHEM,Bechem,6.11,0.512,0.043,3.02,26.76
55,1464,-0.876,6.606,MSSE,-0.665088912,6.619832184,Nkwakwa,ER10,Eastern,ER,NKAWKAW,Nkawkaw,5.29,0.615,0.043,10,36
56,1204,-2.277,6.971,MSNW,-2.411475117,6.864890163,Dadiesoba,BA2,Brong Ahafo,BA,DADIESOABA,Dadiesoaba,6.72,0.874,0.044,3.32,18.76
57,1041,-1.405,7.196,DSFZ,-1.438686829,7.026720576,Mampong,AR11,Ashanti,AR,MAMPONG,Mampong,5.6,0.341,0.044,5.4,24.76
58,1359,-0.321,6.205,MSSE,-0.435991616,6.297230947,Tafo,ER8,Eastern,ER,TAFO,Kibi/Tafo,6.22,0.179,0.044,8.36,18.76
59,1183,-2.126,7.139,MSNW,-2.196283975,7.190690197,Bechem,BA5,Brong Ahafo,BA,BECHEM,Bechem,5.98,0.472,0.045,3.23,40.76
60,1201,-2.451,6.888,MSNW,-2.411475117,6.864890163,Dadiesoba,BA2,Brong Ahafo,BA,DADIESOABA,Dadiesoaba,6.34,1.178,0.045,3.3,22.76
61,1305,-1.009,5.389,DSIZ,-0.978686053,5.441262108,Asikuma,CR4,Central,CR,ASIKUMA,Asikuma,5,0.306,0.045,2.79,16.76
62,1330,-0.294,5.953,DSIZ,-0.116434066,6.222062609,Oyoko,ER9,Eastern,ER,OYOKO,Oyoko,6.51,0.1,0.045,8.2,16.76
63,1222,-0.87,5.589,MSSE,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,5.34,0.296,0.045,3.11,10.76
64,1216,-0.779,5.542,DSIZ,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,5.92,0.235,0.045,2.5,8.76
65,1676,-3.157,6.783,MSNW,-3.126562592,6.535882038,Essam,WN9,Western North,WN,ESSAM,Essam,6.83,0.347,0.045,4.4,14.76
66,1171,-2.213,7.364,DSFZ,-1.900377026,7.68534414,Sunyani,BA8,Brong Ahafo,BA,SUNYANI,Sunyani,5.82,0.447,0.046,2.13,18.76
67,1592,-2.668,6.412,MSSE,-2.637524769,6.302919333,Boako,WN7,Western North,WN,BOAKO,Boako,5.5,0.467,0.046,6.7,20.76
68,1411,-0.777,5.714,MSSE,-0.742503709,5.820003506,Asamankese,ER1,Eastern,ER,ASAMANKESE,Asamankese,5.28,0.164,0.046,7.96,22.76
69,1158,-2.641,6.605,MSNW,-2.633656006,6.687102282,Sankore,BA1,Brong Ahafo,BA,SANKORE,Sankore,5.92,0.496,0.046,2.63,26.76
70,1412,-0.803,5.805,MSSE,-0.742503709,5.820003506,Asamankese,ER1,Eastern,ER,ASAMANKESE,Asamankese,5.46,0.362,0.046,12.87,22.76
71,1125,-2.871,6.914,MSNW,-2.949514737,7.052434103,Nkrankwanta,BA3,Brong Ahafo,BA,NKRANKWANTA,Nkrankwanta,5.98,0.92,0.046,10.39,20.76
72,1184,-2.156,7.103,MSNW,-2.196283975,7.190690197,Bechem,BA5,Brong Ahafo,BA,BECHEM,Bechem,5.79,0.258,0.046,1.72,18.76
73,1380,-0.365,5.978,DSIZ,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,5.98,0.182,0.046,10.06,26.76
74,1157,-2.566,6.561,MSNW,-2.633656006,6.687102282,Sankore,BA1,Brong Ahafo,BA,SANKORE,Sankore,6.02,0.386,0.046,3.06,20.76
75,1586,-2.837,6.317,ME,-2.908183268,6.419964677,Juaboso,WN8,Western North,WN,JUABOSO,Juaboso,5.08,0.974,0.047,8.37,18.76
76,1139,-2.706,7.165,MSNW,-2.715734955,7.578107281,Dormaa Ahenkro,BA6,Brong Ahafo,BA,DORMAA AHENKRO,Dormaa Ahenkro,5.97,0.823,0.047,5.97,24.76
77,1160,-2.498,6.42,MSSE,-2.633656006,6.687102282,Sankore,BA1,Brong Ahafo,BA,SANKORE,Sankore,6.12,0.737,0.047,2.71,20.76
78,1597,-2.923,6.463,MSNW,-2.908183268,6.419964677,Juaboso,WN8,Western North,WN,JUABOSO,Juaboso,5,0.438,0.047,2.78,40.76
79,1126,-3.052,6.947,MSNW,-2.949514737,7.052434103,Nkrankwanta,BA3,Brong Ahafo,BA,NKRANKWANTA,Nkrankwanta,5.89,0.507,0.047,5.15,18.76
80,1347,-0.564,6.101,MSSE,-0.435991616,6.297230947,Tafo,ER8,Eastern,ER,TAFO,Kibi/Tafo,6.79,0.396,0.047,14.39,24.76
81,1249,-1.284,5.61,ME,-1.383082632,5.540127719,Twifo Praso,CR3,Central,CR,TWIFO PRASO,Twifo Praso,5.6,0.151,0.047,2.79,6.76
82,1365,-0.567,6.388,MSSE,-0.631530883,6.364693865,Osino,ER6,Eastern,ER,OSINO,Osino,4.65,0.127,0.047,15.63,20.76
83,1602,-2.97,6.549,MSNW,-2.89284739,6.617246374,Adjuafoah,WN10,Western North,WN,ADJUAFOAH,Adjofua,6.04,0.476,0.047,3.99,24.76
84,1176,-2.12,7.533,DSFZ,-1.900377026,7.68534414,Sunyani,BA8,Brong Ahafo,BA,SUNYANI,Sunyani,5.98,0.196,0.048,0.19,34.76
85,1169,-2.534,6.848,MSNW,-2.622448196,7.072896329,Goaso,BA4,Brong Ahafo,BA,GOASO,Goaso,5.44,0.847,0.048,2.64,24.76
86,1585,-2.296,6.38,MSSE,-2.248519818,6.315543698,Bibiani,WN6,Western North,WN,BIBIANI,Bibiani,5.72,0.187,0.048,4.7,14.76
87,1124,-2.891,6.926,MSNW,-2.949514737,7.052434103,Nkrankwanta,BA3,Brong Ahafo,BA,NKRANKWANTA,Nkrankwanta,6.14,0.72,0.048,9.29,22.76
88,1162,-2.685,7.075,MSNW,-2.622448196,7.072896329,Goaso,BA4,Brong Ahafo,BA,GOASO,Goaso,5.63,0.473,0.048,3.86,28.76
89,1172,-2.169,7.352,DSFZ,-1.900377026,7.68534414,Sunyani,BA8,Brong Ahafo,BA,SUNYANI,Sunyani,5.72,0.563,0.049,1.3,12.76
90,1385,-0.491,5.91,DSIZ,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,6.06,0.202,0.049,18.7,12.76
91,1306,-1.001,5.379,DSIZ,-0.978686053,5.441262108,Asikuma,CR4,Central,CR,ASIKUMA,Asikuma,5.08,0.245,0.049,2.95,12.76
92,1381,-0.373,6.002,DSIZ,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,5.95,0.197,0.049,14.75,18.76
93,1627,-2.956,6.496,MSNW,-2.89284739,6.617246374,Adjuafoah,WN10,Western North,WN,ADJUAFOAH,Adjofua,5.82,0.469,0.049,3,22.76
94,1194,-2.393,6.734,MSNW,-2.411475117,6.864890163,Dadiesoba,BA2,Brong Ahafo,BA,DADIESOABA,Dadiesoaba,6.31,0.588,0.049,4.2,26.76
95,1379,-0.363,6.01,DSIZ,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,5.62,0.134,0.049,13.31,16.76
96,1022,-1.938,6.659,MSSE,-2.061682354,6.548614447,Nkawie,AR6,Ashanti,AR,NKAWIE,Nkawie,6.44,0.594,0.049,7.36,30.76
97,1148,-2.278,7.408,DSFZ,-2.374398011,7.706209574,Berekum,BA7,Brong Ahafo,BA,BEREKUM,Berekum,6.32,0.635,0.049,4.53,24.76
98,1342,-0.144,6.343,DSIZ,-0.116434066,6.222062609,Oyoko,ER9,Eastern,ER,OYOKO,Oyoko,6.4,0.265,0.049,11.15,30.76
99,1567,-2.771,6.149,ME,-2.832658207,6.218420317,Bodi,WN5,Western North,WN,BODI,Bodi,5.16,0.755,0.049,6.77,42.76
100,1156,-2.563,6.537,MSNW,-2.633656006,6.687102282,Sankore,BA1,Brong Ahafo,BA,SANKORE,Sankore,6.36,0.107,0.05,3.28,22.76
101,1351,-0.366,6.454,MSSE,-0.435991616,6.297230947,Tafo,ER8,Eastern,ER,TAFO,Kibi/Tafo,5,0.176,0.05,18.99,20.76
102,1341,-0.151,6.387,DSIZ,-0.116434066,6.222062609,Oyoko,ER9,Eastern,ER,OYOKO,Oyoko,6.17,0.26,0.05,14.86,18.76
103,1555,-3.022,6.846,MSNW,-3.057356163,6.838899362,Adaborkrom,WN11,Western North,WN,ADABORKROM,Adabokrom,6.85,0.428,0.05,4.02,20.76
104,1220,-1.008,5.726,MSSE,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,6.06,0.241,0.05,2.05,10.76
105,1195,-2.403,6.788,MSNW,-2.411475117,6.864890163,Dadiesoba,BA2,Brong Ahafo,BA,DADIESOABA,Dadiesoaba,6.12,0.709,0.051,3.76,30.76
106,1350,-0.4,6.539,MSSE,-0.435991616,6.297230947,Tafo,ER8,Eastern,ER,TAFO,Kibi/Tafo,5.01,0.111,0.051,12.73,16
107,1334,-0.339,6.154,DSIZ,-0.116434066,6.222062609,Oyoko,ER9,Eastern,ER,OYOKO,Oyoko,6.09,0.112,0.051,6.71,14.76
108,1358,-0.33,6.236,MSSE,-0.435991616,6.297230947,Tafo,ER8,Eastern,ER,TAFO,Kibi/Tafo,5.63,0.187,0.051,9.37,12.76
109,1146,-2.281,7.38,DSFZ,-2.374398011,7.706209574,Berekum,BA7,Brong Ahafo,BA,BEREKUM,Berekum,5.69,0.542,0.051,4.94,28.76
110,1408,-0.705,5.79,MSSE,-0.742503709,5.820003506,Asamankese,ER1,Eastern,ER,ASAMANKESE,Asamankese,5.67,0.082,0.051,10.15,12.76
111,1173,-2.153,7.357,DSFZ,-1.900377026,7.68534414,Sunyani,BA8,Brong Ahafo,BA,SUNYANI,Sunyani,6.07,0.528,0.051,1.65,16.76
112,1164,-2.71,6.916,MSNW,-2.622448196,7.072896329,Goaso,BA4,Brong Ahafo,BA,GOASO,Goaso,5.81,0.376,0.052,2.87,20.76
113,1210,-0.651,5.631,DSIZ,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,6.29,0.255,0.052,1.92,12.76
114,1212,-0.631,5.555,DSIZ,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,5.68,0.251,0.052,2.51,8.76
115,1132,-2.764,7.223,MSNW,-2.715734955,7.578107281,Dormaa Ahenkro,BA6,Brong Ahafo,BA,DORMAA AHENKRO,Dormaa Ahenkro,5.33,0.491,0.052,6.01,30.76
116,1331,-0.254,5.933,DSIZ,-0.116434066,6.222062609,Oyoko,ER9,Eastern,ER,OYOKO,Oyoko,6.39,0.229,0.052,12.15,22.76
117,1014,-2.006,7.029,MSNW,-2.110508472,6.762945966,Mankranso,AR7,Ashanti,AR,MANKRANSO,Mankranso,6.33,0.803,0.052,8.78,24.76
118,1309,-1.086,5.694,ME,-0.978686053,5.441262108,Asikuma,CR4,Central,CR,ASIKUMA,Asikuma,6.18,0.429,0.052,3.25,6.76
119,1192,-2.421,6.77,MSNW,-2.411475117,6.864890163,Dadiesoba,BA2,Brong Ahafo,BA,DADIESOABA,Dadiesoaba,6.38,0.69,0.053,4,24.76
120,1214,-0.703,5.564,DSIZ,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,6,0.437,0.053,3.01,12.76
121,1632,-3.1,6.603,MSNW,-3.126562592,6.535882038,Essam,WN9,Western North,WN,ESSAM,Essam,5.04,0.221,0.053,6.32,12.76
122,1307,-1.025,5.4,DSIZ,-0.978686053,5.441262108,Asikuma,CR4,Central,CR,ASIKUMA,Asikuma,5.36,0.26,0.053,1.46,12.76
123,1150,-2.415,6.612,MSNW,-2.633656006,6.687102282,Sankore,BA1,Brong Ahafo,BA,SANKORE,Sankore,5.49,0.325,0.053,3.7,14.76
124,1217,-0.748,5.522,DSIZ,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,5.04,0.285,0.053,2.78,14.76
125,1205,-0.751,5.65,MSSE,-2.949514737,7.052434103,Nkrankwanta,BA3,Central,BA,NKRANKWANTA,Nyarkrom,5.82,0.163,0.053,2.53,6.76
126,1633,-3.073,6.683,MSNW,-3.126562592,6.535882038,Essam,WN9,Western North,WN,ESSAM,Essam,5.11,0.553,0.053,4.26,24.76
127,1168,-2.519,6.982,MSNW,-2.622448196,7.072896329,Goaso,BA4,Brong Ahafo,BA,GOASO,Goaso,5.45,0.541,0.053,3.56,22.76
128,1556,-3.035,6.662,MSNW,-2.89284739,6.617246374,Adjuafoah,WN10,Western North,WN,ADJUAFOAH,Adjofua,5.36,0.353,0.054,7.12,20.76
129,1445,-0.734,5.976,MSSE,-0.862484798,5.930914035,Bawdua,ER3,Eastern,ER,BAWDUA,Bawdua,5.31,0.407,0.054,7.28,22.76
130,1263,-1.567,5.448,ME,-1.383082632,5.540127719,Twifo Praso,CR3,Central,CR,TWIFO PRASO,Twifo Praso,5.45,0.172,0.054,2.64,8.76
131,1340,-0.19,6.365,DSIZ,-0.116434066,6.222062609,Oyoko,ER9,Eastern,ER,OYOKO,Oyoko,6.34,0.119,0.054,9.95,14.76
132,1610,-2.693,6.438,MSSE,-2.637524769,6.302919333,Boako,WN7,Western North,WN,BOAKO,Boako,6.65,0.702,0.054,5.23,22.76
133,1386,-0.457,5.926,DSIZ,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,6.02,0.357,0.054,20.93,24.76
134,1260,-1.383,5.9,ME,-1.388230252,5.776940259,Fosu,CR5,Central,CR,FOSU,Assin Foso,5.18,0.17,0.054,3.54,6.76
135,1294,-0.798,5.406,DSIZ,-0.978686053,5.441262108,Asikuma,CR4,Central,CR,ASIKUMA,Ajumako,5.3,0.365,0.054,4.49,12.76
