Region,Year,Burn_Area(ha),Tree_CoverExtent(Ha),area__ha,Avg_Tree_CoverGain(Ha),Tree_CoverLoss(Ha),TotalGreenHouse(mg),Tree_CoverLossFire(Ha)
Eastern,2003,10433.9310591688,911948.3116029453,1850124.1549417262,1027.013008985586,3064.1409117500884,1178092.0417268216,5.5040512927222345
Eastern,2004,8683.414344633755,911948.3116029453,1850124.1549417262,1027.013008985586,876.785259313577,350286.6439740397,2.2186754070425927
Eastern,2005,12496.458722124444,911948.3116029453,1850124.1549417265,1027.013008985586,3942.9384473597615,1603571.4462189588,6.426733041992972
Eastern,2006,7716.630336524489,911948.3116029453,1850124.1549417265,1027.013008985586,1763.4458900631682,727368.1163732208,1.3764797522477517
Eastern,2007,12235.423984969531,911948.3116029452,1850124.1549417265,1027.013008985586,6712.295847933996,2958261.594559682,8.566780560343188
Eastern,2008,12794.582200551697,911948.3116029453,1850124.1549417262,1027.013008985586,7794.671238090222,3488699.595951404,14.766873499455292
Eastern,2009,9589.32660416349,911948.3116029453,1850124.1549417265,1027.013008985586,2576.8690624756427,1158543.0135071848,3.977968366358368
Eastern,2010,8618.452981909986,911948.3116029453,1850124.1549417265,1027.013008985586,1575.4074786145845,749036.7313561254,1.223649744314514
Eastern,2011,11620.558792299256,911948.3116029454,1850124.1549417267,1027.013008985586,4507.772305012958,2195491.5055637863,2.294970109220681
Eastern,2012,9438.137754105062,911948.3116029453,1850124.1549417265,1027.013008985586,4220.59518068052,2092702.3189183949,11.318392782466988
Eastern,2013,8730.015107780893,911948.3116029453,1850124.1549417265,1027.013008985586,14124.430037230539,7279452.033161779,3.442226830431901
Eastern,2014,6873.381980338627,911948.3116029452,1850124.1549417265,1027.013008985586,14792.75332224496,7971048.4987384435,1.5300244747154732
Eastern,2015,15917.912069774004,911948.3116029454,1850124.1549417267,1027.013008985586,5729.948860659207,3171966.3378790766,0.1529445705056554
Eastern,2016,11939.206189786339,911948.3116029453,1850124.1549417265,1027.013008985586,18062.593328978062,10108646.683591038,19.87704820833088
Eastern,2017,5232.4234353396905,911948.3116029453,1850124.1549417262,1027.013008985586,24336.176631478145,14390994.703069253,13.313709029092191
Eastern,2018,12820.724745996777,911948.3116029454,1850124.1549417267,1027.013008985586,21502.291611820827,13195414.739957368,0.8414324577105317
Eastern,2019,4290.95305146719,911948.3116029453,1850124.1549417265,1027.013008985586,12095.733077307335,7638860.379274221,1.377143243255206
Eastern,2020,9360.674969498823,911948.3116029453,1850124.1549417265,1027.013008985586,15208.520773557557,9834447.521998258,3.5960872089986453
Eastern,2021,7334.093861574284,911948.3116029453,1850124.1549417265,1027.013008985586,16541.91083334871,11004308.045141809,3.7486491400675055
