Year,Region,Annualmaxdailytempforecast,Country
2045,Greater Accra,33.27,Ghana
2046,Greater Accra,33.57,Ghana
2047,Greater Accra,33.55,Ghana
2048,Greater Accra,33.44,Ghana
2049,Greater Accra,33.46,Ghana
2050,Greater Accra,33.53,Ghana
2051,Greater Accra,33.83,Ghana
2052,Greater Accra,33.58,Ghana
2053,Greater Accra,33.49,Ghana
2054,Greater Accra,33.85,Ghana
2055,Greater Accra,33.59,Ghana
2056,Greater Accra,33.64,Ghana
2057,Greater Accra,33.66,Ghana
2058,Greater Accra,33.88,Ghana
2059,Greater Accra,33.64,Ghana
2060,Greater Accra,33.69,Ghana
2061,Greater Accra,33.64,Ghana
2062,Greater Accra,33.48,Ghana
2063,Greater Accra,33.67,Ghana
2064,Greater Accra,33.63,Ghana
2065,Greater Accra,33.6,Ghana
2066,Greater Accra,33.68,Ghana
2067,Greater Accra,33.56,Ghana
2068,Greater Accra,33.74,Ghana
2069,Greater Accra,33.73,Ghana
2070,Greater Accra,33.64,Ghana
2071,Greater Accra,33.59,Ghana
2072,Greater Accra,33.78,Ghana
2073,Greater Accra,33.76,Ghana
2074,Greater Accra,33.71,Ghana
2075,Greater Accra,33.49,Ghana
2076,Greater Accra,33.63,Ghana
2077,Greater Accra,33.65,Ghana
2078,Greater Accra,33.76,Ghana
2079,Greater Accra,33.72,Ghana
2080,Greater Accra,33.75,Ghana
2081,Greater Accra,33.58,Ghana
2082,Greater Accra,33.71,Ghana
2083,Greater Accra,33.7,Ghana
2084,Greater Accra,33.79,Ghana
2085,Greater Accra,33.57,Ghana
2086,Greater Accra,33.59,Ghana
2087,Greater Accra,33.7,Ghana
2088,Greater Accra,33.74,Ghana
2089,Greater Accra,33.42,Ghana
2090,Greater Accra,33.82,Ghana
2091,Greater Accra,33.77,Ghana
2092,Greater Accra,33.66,Ghana
2093,Greater Accra,33.57,Ghana
2094,Greater Accra,33.53,Ghana
2095,Greater Accra,33.58,Ghana
2096,Greater Accra,33.56,Ghana
2097,Greater Accra,33.82,Ghana
2098,Greater Accra,33.67,Ghana
2099,Greater Accra,33.42,Ghana
2100,Greater Accra,33.74,Ghana
2015,Northern,40.91,Ghana
2016,Northern,40.83,Ghana
2017,Northern,40.89,Ghana
2018,Northern,41.26,Ghana
2019,Northern,41.25,Ghana
2020,Northern,41.37,Ghana
2021,Northern,41.16,Ghana
2022,Northern,41.46,Ghana
2023,Northern,41.28,Ghana
2024,Northern,41.54,Ghana
2025,Northern,41.4,Ghana
2026,Northern,41.6,Ghana
2027,Northern,41.33,Ghana
2028,Northern,41.76,Ghana
2029,Northern,41.58,Ghana
2030,Northern,41.4,Ghana
2031,Northern,41.65,Ghana
2032,Northern,41.63,Ghana
2033,Northern,41.62,Ghana
2034,Northern,41.89,Ghana
2035,Northern,41.79,Ghana
2036,Northern,42.01,Ghana
2037,Northern,41.96,Ghana
2038,Northern,41.71,Ghana
2039,Northern,41.76,Ghana
2040,Northern,41.88,Ghana
2041,Northern,41.83,Ghana
2042,Northern,41.77,Ghana
2043,Northern,42.17,Ghana
2044,Northern,42.2,Ghana
2045,Northern,41.87,Ghana
2046,Northern,42.1,Ghana
2047,Northern,42.01,Ghana
2048,Northern,41.91,Ghana
2049,Northern,41.9,Ghana
2050,Northern,42.25,Ghana
2051,Northern,42.06,Ghana
2052,Northern,42.04,Ghana
2053,Northern,41.82,Ghana
2054,Northern,42.27,Ghana
2055,Northern,41.9,Ghana
2056,Northern,42.4,Ghana
2057,Northern,42.11,Ghana
2058,Northern,42.03,Ghana
2059,Northern,42.36,Ghana
2060,Northern,42.3,Ghana
2061,Northern,42.08,Ghana
2062,Northern,42.02,Ghana
2063,Northern,42.0,Ghana
2064,Northern,42.09,Ghana
2065,Northern,42.14,Ghana
2066,Northern,42.14,Ghana
2067,Northern,42.2,Ghana
2068,Northern,42.14,Ghana
2069,Northern,42.39,Ghana
2070,Northern,41.92,Ghana
2071,Northern,42.19,Ghana
2072,Northern,42.09,Ghana
2073,Northern,42.22,Ghana
2074,Northern,42.3,Ghana
2075,Northern,42.05,Ghana
2076,Northern,42.04,Ghana
2077,Northern,42.01,Ghana
