Year,Region,AnnualForecastedPrecip(mm),Country
2075,Central,1273.54,Ghana
2076,Central,1215.81,Ghana
2077,Central,1211.9,Ghana
2078,Central,1114.55,Ghana
2079,Central,1159.35,Ghana
2080,Central,1267.61,Ghana
2081,Central,1195.28,Ghana
2082,Central,1199.67,Ghana
2083,Central,1200.08,Ghana
2084,Central,1241.92,Ghana
2085,Central,1227.74,Ghana
2086,Central,1245.89,Ghana
2087,Central,1262.08,Ghana
2088,Central,1217.45,Ghana
2089,Central,1185.31,Ghana
2090,Central,1200.96,Ghana
2091,Central,1299.35,Ghana
2092,Central,1278.0,Ghana
2093,Central,1299.35,Ghana
2094,Central,1198.64,Ghana
2095,Central,1237.82,Ghana
2096,Central,1228.22,Ghana
2097,Central,1279.44,Ghana
2098,Central,1358.4,Ghana
2099,Central,1196.0,Ghana
2100,Central,1318.73,Ghana
2015,Eastern,1238.81,Ghana
2016,Eastern,1261.98,Ghana
2017,Eastern,1215.56,Ghana
2018,Eastern,1252.58,Ghana
2019,Eastern,1208.65,Ghana
2020,Eastern,1156.02,Ghana
2021,Eastern,1237.44,Ghana
2022,Eastern,1252.29,Ghana
2023,Eastern,1317.7,Ghana
2024,Eastern,1286.35,Ghana
2025,Eastern,1267.83,Ghana
2026,Eastern,1276.66,Ghana
2027,Eastern,1199.07,Ghana
2028,Eastern,1281.36,Ghana
2029,Eastern,1252.65,Ghana
2030,Eastern,1225.5,Ghana
2031,Eastern,1307.75,Ghana
2032,Eastern,1148.27,Ghana
2033,Eastern,1185.0,Ghana
2034,Eastern,1225.07,Ghana
2035,Eastern,1229.48,Ghana
2036,Eastern,1255.65,Ghana
2037,Eastern,1257.38,Ghana
2038,Eastern,1266.44,Ghana
2039,Eastern,1257.7,Ghana
2040,Eastern,1259.75,Ghana
2041,Eastern,1256.95,Ghana
2042,Eastern,1243.06,Ghana
2043,Eastern,1293.12,Ghana
2044,Eastern,1337.21,Ghana
2045,Eastern,1288.67,Ghana
2046,Eastern,1255.15,Ghana
2047,Eastern,1207.72,Ghana
2048,Eastern,1252.98,Ghana
2049,Eastern,1269.65,Ghana
2050,Eastern,1247.17,Ghana
2051,Eastern,1238.92,Ghana
2052,Eastern,1254.85,Ghana
2053,Eastern,1243.43,Ghana
2054,Eastern,1204.29,Ghana
2055,Eastern,1220.83,Ghana
2056,Eastern,1218.65,Ghana
2057,Eastern,1254.35,Ghana
2058,Eastern,1303.52,Ghana
2059,Eastern,1290.34,Ghana
2060,Eastern,1229.89,Ghana
2061,Eastern,1306.55,Ghana
2062,Eastern,1218.68,Ghana
2063,Eastern,1277.94,Ghana
2064,Eastern,1273.57,Ghana
2065,Eastern,1338.68,Ghana
2066,Eastern,1296.21,Ghana
2067,Eastern,1285.29,Ghana
2068,Eastern,1255.57,Ghana
2069,Eastern,1287.28,Ghana
2070,Eastern,1287.46,Ghana
2071,Eastern,1250.96,Ghana
2072,Eastern,1236.94,Ghana
2073,Eastern,1276.62,Ghana
2074,Eastern,1233.46,Ghana
2075,Eastern,1292.89,Ghana
2076,Eastern,1320.19,Ghana
2077,Eastern,1199.15,Ghana
2078,Eastern,1188.19,Ghana
2079,Eastern,1257.39,Ghana
2080,Eastern,1245.36,Ghana
2081,Eastern,1302.3,Ghana
2082,Eastern,1286.0,Ghana
2083,Eastern,1222.51,Ghana
2084,Eastern,1246.72,Ghana
2085,Eastern,1224.01,Ghana
2086,Eastern,1294.99,Ghana
2087,Eastern,1265.52,Ghana
2088,Eastern,1279.8,Ghana
2089,Eastern,1230.14,Ghana
2090,Eastern,1317.47,Ghana
2091,Eastern,1277.01,Ghana
2092,Eastern,1240.52,Ghana
2093,Eastern,1323.56,Ghana
2094,Eastern,1292.69,Ghana
2095,Eastern,1307.92,Ghana
2096,Eastern,1233.01,Ghana
2097,Eastern,1225.39,Ghana
2098,Eastern,1357.24,Ghana
2099,Eastern,1243.09,Ghana
2100,Eastern,1304.99,Ghana
2015,Greater Accra,1084.95,Ghana
2016,Greater Accra,1172.93,Ghana
2017,Greater Accra,1052.11,Ghana
2018,Greater Accra,1099.05,Ghana
2019,Greater Accra,1082.24,Ghana
2020,Greater Accra,1021.46,Ghana
2021,Greater Accra,1117.01,Ghana
2022,Greater Accra,1120.88,Ghana
2023,Greater Accra,1049.04,Ghana
2024,Greater Accra,1149.73,Ghana
2025,Greater Accra,1100.49,Ghana
2026,Greater Accra,1128.89,Ghana
2027,Greater Accra,1095.78,Ghana
2028,Greater Accra,1048.19,Ghana
2029,Greater Accra,1180.05,Ghana
2030,Greater Accra,1071.21,Ghana
2031,Greater Accra,1137.73,Ghana
2032,Greater Accra,1067.65,Ghana
2033,Greater Accra,1045.21,Ghana
2034,Greater Accra,1089.48,Ghana
2035,Greater Accra,1083.0,Ghana
2036,Greater Accra,1158.32,Ghana
2037,Greater Accra,1064.31,Ghana
2038,Greater Accra,1174.67,Ghana
2039,Greater Accra,1209.92,Ghana
2040,Greater Accra,1130.99,Ghana
2041,Greater Accra,1104.93,Ghana
2042,Greater Accra,1135.53,Ghana
2043,Greater Accra,1175.64,Ghana
2044,Greater Accra,1157.26,Ghana
2045,Greater Accra,1156.81,Ghana
2046,Greater Accra,1153.56,Ghana
2047,Greater Accra,1062.51,Ghana
