Year,Region,Annualmeantempforecast,Country
2019,Eastern,27.44,Ghana
2020,Eastern,27.57,Ghana
2021,Eastern,27.53,Ghana
2022,Eastern,27.48,Ghana
2023,Eastern,27.45,Ghana
2024,Eastern,27.64,Ghana
2025,Eastern,27.62,Ghana
2026,Eastern,27.7,Ghana
2027,Eastern,27.43,Ghana
2028,Eastern,27.61,Ghana
2029,Eastern,27.67,Ghana
2030,Eastern,27.7,Ghana
2031,Eastern,27.82,Ghana
2032,Eastern,27.75,Ghana
2033,Eastern,27.84,Ghana
2034,Eastern,27.73,Ghana
2035,Eastern,27.63,Ghana
2036,Eastern,27.73,Ghana
2037,Eastern,27.93,Ghana
2038,Eastern,27.91,Ghana
2039,Eastern,27.86,Ghana
2040,Eastern,27.78,Ghana
2041,Eastern,27.76,Ghana
2042,Eastern,27.92,Ghana
2043,Eastern,28.06,Ghana
2044,Eastern,27.91,Ghana
2045,Eastern,27.79,Ghana
2046,Eastern,27.96,Ghana
2047,Eastern,27.98,Ghana
2048,Eastern,28.02,Ghana
2049,Eastern,28.0,Ghana
2050,Eastern,28.05,Ghana
2051,Eastern,28.14,Ghana
2052,Eastern,27.88,Ghana
2053,Eastern,27.83,Ghana
2054,Eastern,27.97,Ghana
2055,Eastern,27.8,Ghana
2056,Eastern,28.0,Ghana
2057,Eastern,27.94,Ghana
2058,Eastern,27.96,Ghana
2059,Eastern,28.07,Ghana
2060,Eastern,28.1,Ghana
2061,Eastern,28.0,Ghana
2062,Eastern,27.89,Ghana
2063,Eastern,28.06,Ghana
2064,Eastern,28.07,Ghana
2065,Eastern,27.91,Ghana
2066,Eastern,28.05,Ghana
2067,Eastern,27.97,Ghana
2068,Eastern,28.02,Ghana
2069,Eastern,27.98,Ghana
2070,Eastern,28.16,Ghana
2071,Eastern,27.89,Ghana
2072,Eastern,27.91,Ghana
2073,Eastern,28.02,Ghana
2074,Eastern,28.03,Ghana
2075,Eastern,28.02,Ghana
2076,Eastern,27.94,Ghana
2077,Eastern,28.07,Ghana
2078,Eastern,28.11,Ghana
2079,Eastern,28.14,Ghana
2080,Eastern,27.96,Ghana
2081,Eastern,28.03,Ghana
2082,Eastern,28.19,Ghana
2083,Eastern,27.87,Ghana
2084,Eastern,27.91,Ghana
2085,Eastern,27.89,Ghana
2086,Eastern,27.92,Ghana
2087,Eastern,27.9,Ghana
2088,Eastern,27.94,Ghana
2089,Eastern,27.75,Ghana
2090,Eastern,27.89,Ghana
2091,Eastern,28.05,Ghana
2092,Eastern,27.86,Ghana
2093,Eastern,27.85,Ghana
2094,Eastern,27.89,Ghana
2095,Eastern,27.95,Ghana
2096,Eastern,27.73,Ghana
2097,Eastern,27.86,Ghana
2098,Eastern,27.94,Ghana
2099,Eastern,28.03,Ghana
2100,Eastern,27.91,Ghana
2015,Greater Accra,26.99,Ghana
2016,Greater Accra,27.02,Ghana
2017,Greater Accra,27.03,Ghana
2018,Greater Accra,27.15,Ghana
2019,Greater Accra,27.22,Ghana
2020,Greater Accra,27.28,Ghana
2021,Greater Accra,27.27,Ghana
2022,Greater Accra,27.26,Ghana
2023,Greater Accra,27.24,Ghana
2024,Greater Accra,27.4,Ghana
2025,Greater Accra,27.37,Ghana
2026,Greater Accra,27.44,Ghana
2027,Greater Accra,27.28,Ghana
2028,Greater Accra,27.44,Ghana
2029,Greater Accra,27.52,Ghana
2030,Greater Accra,27.45,Ghana
2031,Greater Accra,27.53,Ghana
2032,Greater Accra,27.42,Ghana
2033,Greater Accra,27.58,Ghana
2034,Greater Accra,27.52,Ghana
2035,Greater Accra,27.48,Ghana
2036,Greater Accra,27.58,Ghana
2037,Greater Accra,27.67,Ghana
2038,Greater Accra,27.65,Ghana
2039,Greater Accra,27.62,Ghana
2040,Greater Accra,27.44,Ghana
2041,Greater Accra,27.63,Ghana
2042,Greater Accra,27.72,Ghana
2043,Greater Accra,27.82,Ghana
2044,Greater Accra,27.65,Ghana
2045,Greater Accra,27.6,Ghana
2046,Greater Accra,27.75,Ghana
2047,Greater Accra,27.73,Ghana
2048,Greater Accra,27.81,Ghana
2049,Greater Accra,27.77,Ghana
2050,Greater Accra,27.82,Ghana
2051,Greater Accra,27.93,Ghana
2052,Greater Accra,27.66,Ghana
2053,Greater Accra,27.67,Ghana
2054,Greater Accra,27.75,Ghana
2055,Greater Accra,27.64,Ghana
2056,Greater Accra,27.73,Ghana
2057,Greater Accra,27.73,Ghana
2058,Greater Accra,27.72,Ghana
2059,Greater Accra,27.9,Ghana
2060,Greater Accra,27.84,Ghana
2061,Greater Accra,27.78,Ghana
2062,Greater Accra,27.67,Ghana
2063,Greater Accra,27.8,Ghana
2064,Greater Accra,27.79,Ghana
2065,Greater Accra,27.74,Ghana
2066,Greater Accra,27.88,Ghana
2067,Greater Accra,27.77,Ghana
2068,Greater Accra,27.79,Ghana
2069,Greater Accra,27.78,Ghana
2070,Greater Accra,27.84,Ghana
2071,Greater Accra,27.77,Ghana
2072,Greater Accra,27.76,Ghana
2073,Greater Accra,27.77,Ghana
2074,Greater Accra,27.88,Ghana
2075,Greater Accra,27.81,Ghana
2076,Greater Accra,27.78,Ghana
2077,Greater Accra,27.84,Ghana
2078,Greater Accra,28.03,Ghana
2079,Greater Accra,27.89,Ghana
2080,Greater Accra,27.75,Ghana
2081,Greater Accra,27.8,Ghana
2082,Greater Accra,27.94,Ghana
2083,Greater Accra,27.72,Ghana
2084,Greater Accra,27.75,Ghana
2085,Greater Accra,27.57,Ghana
2086,Greater Accra,27.77,Ghana
2087,Greater Accra,27.7,Ghana
2088,Greater Accra,27.73,Ghana
2089,Greater Accra,27.63,Ghana
2090,Greater Accra,27.69,Ghana
2091,Greater Accra,27.87,Ghana
2092,Greater Accra,27.68,Ghana
2093,Greater Accra,27.75,Ghana
2094,Greater Accra,27.78,Ghana
2095,Greater Accra,27.73,Ghana
2096,Greater Accra,27.53,Ghana
2097,Greater Accra,27.7,Ghana
2098,Greater Accra,27.84,Ghana
2099,Greater Accra,27.97,Ghana
2100,Greater Accra,27.72,Ghana
2015,Northern,28.25,Ghana
2016,Northern,28.08,Ghana
2017,Northern,28.18,Ghana
2018,Northern,28.39,Ghana
2019,Northern,28.54,Ghana
2020,Northern,28.6,Ghana
2021,Northern,28.55,Ghana
2022,Northern,28.44,Ghana
2023,Northern,28.47,Ghana
2024,Northern,28.7,Ghana
2025,Northern,28.65,Ghana
2026,Northern,28.75,Ghana
2027,Northern,28.53,Ghana
2028,Northern,28.76,Ghana
2029,Northern,28.73,Ghana
2030,Northern,28.77,Ghana
2031,Northern,28.99,Ghana
2032,Northern,28.86,Ghana
2033,Northern,28.92,Ghana
2034,Northern,28.83,Ghana
2035,Northern,28.78,Ghana
2036,Northern,28.88,Ghana
2037,Northern,28.88,Ghana
2038,Northern,28.83,Ghana
2039,Northern,28.9,Ghana
2040,Northern,28.83,Ghana
2041,Northern,28.92,Ghana
2042,Northern,28.99,Ghana
2043,Northern,29.03,Ghana
2044,Northern,28.88,Ghana
2045,Northern,28.9,Ghana
