Year,Region,AnnualForecastedDrought(SPEI Index),Country
2060,Eastern,0.0,Ghana
2061,Eastern,0.0,Ghana
2062,Eastern,0.0,Ghana
2063,Eastern,0.0,Ghana
2064,Eastern,0.0,Ghana
2065,Eastern,0.01,Ghana
2066,Eastern,0.01,Ghana
2067,Eastern,0.0,Ghana
2068,Eastern,0.02,Ghana
2069,Eastern,0.0,Ghana
2070,Eastern,-0.0,Ghana
2071,Eastern,0.0,Ghana
2072,Eastern,0.0,Ghana
2073,Eastern,0.0,Ghana
2074,Eastern,0.0,Ghana
2075,Eastern,0.0,Ghana
2076,Eastern,0.0,Ghana
2077,Eastern,0.0,Ghana
2078,Eastern,0.0,Ghana
2079,Eastern,-0.01,Ghana
2080,Eastern,-0.03,Ghana
2081,Eastern,0.0,Ghana
2082,Eastern,0.0,Ghana
2083,Eastern,0.0,Ghana
2084,Eastern,0.0,Ghana
2085,Eastern,0.0,Ghana
2086,Eastern,0.0,Ghana
2087,Eastern,0.0,Ghana
2088,Eastern,0.0,Ghana
2089,Eastern,-0.03,Ghana
2090,Eastern,-0.0,Ghana
2091,Eastern,0.0,Ghana
2092,Eastern,0.0,Ghana
2093,Eastern,0.01,Ghana
2094,Eastern,-0.02,Ghana
2095,Eastern,-0.01,Ghana
2096,Eastern,0.01,Ghana
2097,Eastern,-0.06,Ghana
2098,Eastern,-0.05,Ghana
2099,Eastern,0.0,Ghana
2100,Eastern,0.0,Ghana
2015,Greater Accra,0.0,Ghana
2016,Greater Accra,0.0,Ghana
2017,Greater Accra,-0.02,Ghana
2018,Greater Accra,0.0,Ghana
2019,Greater Accra,0.0,Ghana
2020,Greater Accra,-0.15,Ghana
2021,Greater Accra,-0.23,Ghana
2022,Greater Accra,-0.01,Ghana
2023,Greater Accra,0.0,Ghana
2024,Greater Accra,0.0,Ghana
2025,Greater Accra,0.0,Ghana
2026,Greater Accra,0.0,Ghana
2027,Greater Accra,0.0,Ghana
2028,Greater Accra,0.0,Ghana
2029,Greater Accra,0.0,Ghana
2030,Greater Accra,0.0,Ghana
2031,Greater Accra,-0.02,Ghana
2032,Greater Accra,-0.02,Ghana
2033,Greater Accra,0.0,Ghana
2034,Greater Accra,0.0,Ghana
2035,Greater Accra,0.0,Ghana
2036,Greater Accra,0.0,Ghana
2037,Greater Accra,0.0,Ghana
2038,Greater Accra,0.0,Ghana
2039,Greater Accra,0.0,Ghana
2040,Greater Accra,0.0,Ghana
2041,Greater Accra,0.0,Ghana
2042,Greater Accra,0.0,Ghana
2043,Greater Accra,-0.01,Ghana
2044,Greater Accra,0.0,Ghana
2045,Greater Accra,0.0,Ghana
2046,Greater Accra,0.0,Ghana
2047,Greater Accra,0.0,Ghana
2048,Greater Accra,0.0,Ghana
2049,Greater Accra,0.0,Ghana
2050,Greater Accra,0.0,Ghana
2051,Greater Accra,0.0,Ghana
2052,Greater Accra,-0.03,Ghana
2053,Greater Accra,0.0,Ghana
2054,Greater Accra,0.0,Ghana
2055,Greater Accra,0.0,Ghana
2056,Greater Accra,0.0,Ghana
2057,Greater Accra,0.0,Ghana
2058,Greater Accra,0.0,Ghana
2059,Greater Accra,0.04,Ghana
2060,Greater Accra,0.0,Ghana
2061,Greater Accra,0.0,Ghana
2062,Greater Accra,0.0,Ghana
2063,Greater Accra,0.0,Ghana
2064,Greater Accra,0.0,Ghana
2065,Greater Accra,0.05,Ghana
2066,Greater Accra,0.05,Ghana
2067,Greater Accra,0.0,Ghana
2068,Greater Accra,0.08,Ghana
2069,Greater Accra,0.0,Ghana
2070,Greater Accra,0.0,Ghana
2071,Greater Accra,0.0,Ghana
2072,Greater Accra,0.0,Ghana
2073,Greater Accra,0.0,Ghana
2074,Greater Accra,0.04,Ghana
2075,Greater Accra,0.0,Ghana
2076,Greater Accra,0.0,Ghana
2077,Greater Accra,0.0,Ghana
2078,Greater Accra,0.0,Ghana
2079,Greater Accra,0.0,Ghana
2080,Greater Accra,-0.01,Ghana
2081,Greater Accra,0.0,Ghana
2082,Greater Accra,0.0,Ghana
2083,Greater Accra,0.0,Ghana
2084,Greater Accra,0.0,Ghana
2085,Greater Accra,0.0,Ghana
2086,Greater Accra,0.0,Ghana
2087,Greater Accra,0.0,Ghana
2088,Greater Accra,0.0,Ghana
2089,Greater Accra,-0.0,Ghana
2090,Greater Accra,-0.03,Ghana
2091,Greater Accra,0.0,Ghana
2092,Greater Accra,0.0,Ghana
2093,Greater Accra,0.0,Ghana
2094,Greater Accra,-0.0,Ghana
2095,Greater Accra,0.0,Ghana
2096,Greater Accra,0.02,Ghana
2097,Greater Accra,-0.01,Ghana
2098,Greater Accra,-0.03,Ghana
2099,Greater Accra,0.0,Ghana
2100,Greater Accra,0.0,Ghana
2015,Northern,0.0,Ghana
2016,Northern,0.0,Ghana
2017,Northern,0.0,Ghana
2018,Northern,0.0,Ghana
2019,Northern,0.0,Ghana
2020,Northern,-0.01,Ghana
2021,Northern,-0.0,Ghana
2022,Northern,0.0,Ghana
2023,Northern,0.0,Ghana
2024,Northern,0.0,Ghana
2025,Northern,0.0,Ghana
2026,Northern,0.01,Ghana
2027,Northern,0.0,Ghana
2028,Northern,0.0,Ghana
2029,Northern,0.0,Ghana
2030,Northern,-0.03,Ghana
2031,Northern,-0.02,Ghana
2032,Northern,-0.01,Ghana
2033,Northern,0.0,Ghana
2034,Northern,0.04,Ghana
2035,Northern,0.0,Ghana
2036,Northern,0.0,Ghana
2037,Northern,0.0,Ghana
2038,Northern,0.0,Ghana
2039,Northern,0.0,Ghana
2040,Northern,0.0,Ghana
2041,Northern,0.0,Ghana
2042,Northern,0.0,Ghana
2043,Northern,0.0,Ghana
2044,Northern,-0.0,Ghana
2045,Northern,0.0,Ghana
2046,Northern,0.0,Ghana
2047,Northern,-0.0,Ghana
2048,Northern,-0.06,Ghana
2049,Northern,0.0,Ghana
2050,Northern,0.01,Ghana
2051,Northern,0.0,Ghana
2052,Northern,-0.0,Ghana
2053,Northern,0.0,Ghana
2054,Northern,-0.01,Ghana
2055,Northern,0.0,Ghana
2056,Northern,0.0,Ghana
2057,Northern,-0.02,Ghana
2058,Northern,0.0,Ghana
2059,Northern,0.0,Ghana
2060,Northern,0.0,Ghana
2061,Northern,0.0,Ghana
2062,Northern,0.0,Ghana
2063,Northern,0.0,Ghana
2064,Northern,0.0,Ghana
2065,Northern,0.0,Ghana
2066,Northern,0.0,Ghana
2067,Northern,0.0,Ghana
2068,Northern,-0.0,Ghana
2069,Northern,0.0,Ghana
2070,Northern,0.0,Ghana
2071,Northern,0.0,Ghana
2072,Northern,-0.04,Ghana
2073,Northern,0.0,Ghana
2074,Northern,0.01,Ghana
2075,Northern,0.0,Ghana
2076,Northern,0.0,Ghana
2077,Northern,0.0,Ghana
2078,Northern,0.0,Ghana
2079,Northern,-0.0,Ghana
2080,Northern,-0.02,Ghana
2081,Northern,0.0,Ghana
2082,Northern,0.0,Ghana
2083,Northern,0.0,Ghana
2084,Northern,0.0,Ghana
2085,Northern,-0.01,Ghana
2086,Northern,0.0,Ghana
2087,Northern,0.0,Ghana
2088,Northern,0.0,Ghana
2089,Northern,0.0,Ghana
2090,Northern,0.0,Ghana
2091,Northern,0.0,Ghana
2092,Northern,0.0,Ghana
2093,Northern,0.0,Ghana
2094,Northern,-0.04,Ghana
2095,Northern,-0.22,Ghana
2096,Northern,-0.05,Ghana
2097,Northern,-0.04,Ghana
2098,Northern,-0.06,Ghana
2099,Northern,0.0,Ghana
2100,Northern,-0.0,Ghana
