Year,Region,Annualmindailytempforecast,Country
2082,Central,21.48,Ghana
2083,Central,21.48,Ghana
2084,Central,21.55,Ghana
2085,Central,21.61,Ghana
2086,Central,21.69,Ghana
2087,Central,21.59,Ghana
2088,Central,21.64,Ghana
2089,Central,21.4,Ghana
2090,Central,21.73,Ghana
2091,Central,21.74,Ghana
2092,Central,21.64,Ghana
2093,Central,21.71,Ghana
2094,Central,21.52,Ghana
2095,Central,21.62,Ghana
2096,Central,21.4,Ghana
2097,Central,21.51,Ghana
2098,Central,21.58,Ghana
2099,Central,21.85,Ghana
2100,Central,21.66,Ghana
2015,Eastern,18.18,Ghana
2016,Eastern,18.34,Ghana
2017,Eastern,18.41,Ghana
2018,Eastern,18.77,Ghana
2019,Eastern,18.7,Ghana
2020,Eastern,19.14,Ghana
2021,Eastern,18.95,Ghana
2022,Eastern,18.81,Ghana
2023,Eastern,19.04,Ghana
2024,Eastern,18.95,Ghana
2025,Eastern,18.93,Ghana
2026,Eastern,19.15,Ghana
2027,Eastern,19.14,Ghana
2028,Eastern,19.19,Ghana
2029,Eastern,19.02,Ghana
2030,Eastern,19.54,Ghana
2031,Eastern,19.33,Ghana
2032,Eastern,19.14,Ghana
2033,Eastern,19.23,Ghana
2034,Eastern,19.22,Ghana
2035,Eastern,19.29,Ghana
2036,Eastern,19.17,Ghana
2037,Eastern,18.93,Ghana
2038,Eastern,19.08,Ghana
2039,Eastern,19.49,Ghana
2040,Eastern,19.03,Ghana
2041,Eastern,19.36,Ghana
2042,Eastern,19.52,Ghana
2043,Eastern,19.25,Ghana
2044,Eastern,19.33,Ghana
2045,Eastern,19.54,Ghana
2046,Eastern,19.29,Ghana
2047,Eastern,19.25,Ghana
2048,Eastern,19.45,Ghana
2049,Eastern,19.51,Ghana
2050,Eastern,19.63,Ghana
2051,Eastern,19.33,Ghana
2052,Eastern,19.47,Ghana
2053,Eastern,19.33,Ghana
2054,Eastern,19.4,Ghana
2055,Eastern,19.34,Ghana
2056,Eastern,19.22,Ghana
2057,Eastern,19.13,Ghana
