Year,Region,AnnualForecastedDryDays,Country
2085,Northern,91.48,Ghana
2086,Northern,97.25,Ghana
2087,Northern,96.46,Ghana
2088,Northern,95.06,Ghana
2089,Northern,106.01,Ghana
2090,Northern,99.14,Ghana
2091,Northern,89.56,Ghana
2092,Northern,93.6,Ghana
2093,Northern,90.33,Ghana
2094,Northern,98.29,Ghana
2095,Northern,93.73,Ghana
2096,Northern,99.18,Ghana
2097,Northern,89.74,Ghana
2098,Northern,91.0,Ghana
2099,Northern,91.05,Ghana
2100,Northern,90.78,Ghana
2015,Upper East,66.82,Ghana
2016,Upper East,108.05,Ghana
2017,Upper East,113.64,Ghana
2018,Upper East,113.91,Ghana
2019,Upper East,112.73,Ghana
2020,Upper East,111.63,Ghana
2021,Upper East,110.88,Ghana
2022,Upper East,118.05,Ghana
2023,Upper East,124.57,Ghana
2024,Upper East,114.58,Ghana
2025,Upper East,101.72,Ghana
2026,Upper East,125.85,Ghana
2027,Upper East,116.4,Ghana
2028,Upper East,117.45,Ghana
2029,Upper East,118.71,Ghana
2030,Upper East,114.19,Ghana
2031,Upper East,115.97,Ghana
2032,Upper East,112.96,Ghana
2033,Upper East,112.28,Ghana
2034,Upper East,111.27,Ghana
2035,Upper East,108.73,Ghana
2036,Upper East,119.71,Ghana
2037,Upper East,106.2,Ghana
2038,Upper East,111.45,Ghana
2039,Upper East,117.72,Ghana
2040,Upper East,121.2,Ghana
2041,Upper East,117.69,Ghana
2042,Upper East,115.97,Ghana
2043,Upper East,106.08,Ghana
2044,Upper East,120.64,Ghana
2045,Upper East,117.51,Ghana
2046,Upper East,113.75,Ghana
2047,Upper East,114.35,Ghana
2048,Upper East,125.77,Ghana
2049,Upper East,111.35,Ghana
2050,Upper East,121.09,Ghana
2051,Upper East,121.32,Ghana
2052,Upper East,115.37,Ghana
2053,Upper East,110.43,Ghana
2054,Upper East,122.13,Ghana
2055,Upper East,119.05,Ghana
2056,Upper East,120.37,Ghana
2057,Upper East,127.09,Ghana
2058,Upper East,114.91,Ghana
2059,Upper East,119.51,Ghana
2060,Upper East,113.49,Ghana
2061,Upper East,126.95,Ghana
2062,Upper East,113.11,Ghana
2063,Upper East,119.74,Ghana
2064,Upper East,124.25,Ghana
2065,Upper East,116.87,Ghana
2066,Upper East,113.9,Ghana
2067,Upper East,110.95,Ghana
2068,Upper East,127.85,Ghana
2069,Upper East,121.96,Ghana
2070,Upper East,112.3,Ghana
2071,Upper East,123.08,Ghana
2072,Upper East,120.89,Ghana
2073,Upper East,127.18,Ghana
2074,Upper East,113.68,Ghana
2075,Upper East,123.45,Ghana
2076,Upper East,115.44,Ghana
2077,Upper East,119.88,Ghana
2078,Upper East,112.22,Ghana
2079,Upper East,102.89,Ghana
2080,Upper East,118.3,Ghana
2081,Upper East,117.37,Ghana
2082,Upper East,121.57,Ghana
2083,Upper East,126.73,Ghana
2084,Upper East,116.74,Ghana
2085,Upper East,118.01,Ghana
2086,Upper East,117.96,Ghana
2087,Upper East,117.49,Ghana
2088,Upper East,113.94,Ghana
2089,Upper East,122.21,Ghana
2090,Upper East,114.8,Ghana
2091,Upper East,108.72,Ghana
2092,Upper East,117.95,Ghana
2093,Upper East,109.15,Ghana
2094,Upper East,114.56,Ghana
2095,Upper East,121.51,Ghana
2096,Upper East,117.63,Ghana
2097,Upper East,119.36,Ghana
2098,Upper East,109.1,Ghana
2099,Upper East,111.09,Ghana
2100,Upper East,109.61,Ghana
2015,Upper West,62.99,Ghana
2016,Upper West,107.84,Ghana
2017,Upper West,110.8,Ghana
2018,Upper West,110.47,Ghana
2019,Upper West,107.52,Ghana
2020,Upper West,104.07,Ghana
2021,Upper West,106.94,Ghana
2022,Upper West,113.02,Ghana
2023,Upper West,119.3,Ghana
2024,Upper West,105.03,Ghana
2025,Upper West,100.47,Ghana
2026,Upper West,117.06,Ghana
2027,Upper West,109.93,Ghana
2028,Upper West,111.41,Ghana
2029,Upper West,109.5,Ghana
2030,Upper West,107.38,Ghana
2031,Upper West,110.57,Ghana
2032,Upper West,110.34,Ghana
2033,Upper West,108.91,Ghana
2034,Upper West,104.73,Ghana
2035,Upper West,105.05,Ghana
2036,Upper West,115.17,Ghana
2037,Upper West,100.58,Ghana
2038,Upper West,107.47,Ghana
2039,Upper West,114.18,Ghana
2040,Upper West,111.66,Ghana
2041,Upper West,109.97,Ghana
2042,Upper West,107.06,Ghana
2043,Upper West,103.73,Ghana
2044,Upper West,119.2,Ghana
2045,Upper West,114.84,Ghana
2046,Upper West,106.33,Ghana
2047,Upper West,105.22,Ghana
2048,Upper West,118.62,Ghana
2049,Upper West,107.25,Ghana
2050,Upper West,113.25,Ghana
2051,Upper West,113.83,Ghana
2052,Upper West,113.59,Ghana
2053,Upper West,107.25,Ghana
2054,Upper West,120.28,Ghana
2055,Upper West,114.79,Ghana
2056,Upper West,116.6,Ghana
2057,Upper West,112.42,Ghana
2058,Upper West,103.7,Ghana
2059,Upper West,120.11,Ghana
2060,Upper West,109.67,Ghana
2061,Upper West,118.8,Ghana
2062,Upper West,106.99,Ghana
2063,Upper West,116.36,Ghana
2064,Upper West,117.01,Ghana
2065,Upper West,113.03,Ghana
2066,Upper West,105.76,Ghana
2067,Upper West,107.34,Ghana
2068,Upper West,124.12,Ghana
2069,Upper West,118.29,Ghana
2070,Upper West,106.05,Ghana
2071,Upper West,116.43,Ghana
2072,Upper West,115.8,Ghana
2073,Upper West,109.14,Ghana
2074,Upper West,105.35,Ghana
2075,Upper West,113.04,Ghana
2076,Upper West,111.14,Ghana
2077,Upper West,113.1,Ghana
2078,Upper West,105.13,Ghana
2079,Upper West,100.11,Ghana
2080,Upper West,112.68,Ghana
2081,Upper West,106.33,Ghana
2082,Upper West,110.57,Ghana
2083,Upper West,117.31,Ghana
2084,Upper West,107.72,Ghana
2085,Upper West,109.29,Ghana
2086,Upper West,109.42,Ghana
2087,Upper West,114.25,Ghana
2088,Upper West,106.02,Ghana
2089,Upper West,121.67,Ghana
2090,Upper West,110.23,Ghana
2091,Upper West,106.87,Ghana
2092,Upper West,107.26,Ghana
2093,Upper West,100.6,Ghana
2094,Upper West,109.91,Ghana
2095,Upper West,114.97,Ghana
2096,Upper West,113.0,Ghana
2097,Upper West,106.88,Ghana
2098,Upper West,101.38,Ghana
2099,Upper West,103.37,Ghana
2100,Upper West,106.24,Ghana
2015,Volta,40.79,Ghana
2016,Volta,56.62,Ghana
2017,Volta,53.81,Ghana
2018,Volta,53.12,Ghana
2019,Volta,54.57,Ghana
2020,Volta,50.46,Ghana
2021,Volta,55.49,Ghana
2022,Volta,54.43,Ghana
2023,Volta,53.07,Ghana
2024,Volta,52.69,Ghana
2025,Volta,55.76,Ghana
2026,Volta,53.29,Ghana
2027,Volta,57.88,Ghana
2028,Volta,50.77,Ghana
2029,Volta,55.64,Ghana
2030,Volta,58.62,Ghana
2031,Volta,52.45,Ghana
2032,Volta,45.65,Ghana
2033,Volta,56.74,Ghana
2034,Volta,54.59,Ghana
2035,Volta,54.48,Ghana
2036,Volta,52.08,Ghana
2037,Volta,57.63,Ghana
2038,Volta,57.6,Ghana
2039,Volta,56.65,Ghana
2040,Volta,50.74,Ghana
2041,Volta,52.69,Ghana
2042,Volta,47.42,Ghana
2043,Volta,49.54,Ghana
2044,Volta,51.03,Ghana
2045,Volta,50.9,Ghana
2046,Volta,52.19,Ghana
2047,Volta,61.29,Ghana
2048,Volta,49.11,Ghana
2049,Volta,45.56,Ghana
2050,Volta,50.74,Ghana
2051,Volta,60.21,Ghana
2052,Volta,50.12,Ghana
2053,Volta,60.18,Ghana
